"gene_name","tpm","tpm_log2","omicsoft_land","primary_indication","sample_id","gross_anatomical_region"
"CALR",57.1,5.84,"GTEX",NA,"GTEX-DEMO-03","Breast"
"PDIA3",81.9,6.36,"GTEX",NA,"GTEX-DEMO-03","Breast"
"SEC61A1",190.6,7.58,"GTEX",NA,"GTEX-DEMO-03","Breast"
"RPN1",18.3,4.2,"GTEX",NA,"GTEX-DEMO-03","Breast"
"RPN2",94.7,6.57,"GTEX",NA,"GTEX-DEMO-03","Breast"
"SSR1",98,6.62,"GTEX",NA,"GTEX-DEMO-03","Breast"
"TRAM1",152.4,7.25,"GTEX",NA,"GTEX-DEMO-03","Breast"
"SRP54",190.7,7.58,"GTEX",NA,"GTEX-DEMO-03","Breast"
"SRP68",114.9,6.85,"GTEX",NA,"GTEX-DEMO-03","Breast"
"SRP72",214.2,7.74,"GTEX",NA,"GTEX-DEMO-03","Breast"
"PSMA1",13.3,3.74,"GTEX",NA,"GTEX-DEMO-03","Breast"
"PSMB1",193.6,7.6,"GTEX",NA,"GTEX-DEMO-03","Breast"
"PSMC1",20.1,4.34,"GTEX",NA,"GTEX-DEMO-03","Breast"
"UBA1",180.9,7.5,"GTEX",NA,"GTEX-DEMO-03","Breast"
"UBE2D3",99.5,6.64,"GTEX",NA,"GTEX-DEMO-03","Breast"
"SKP1",196.7,7.62,"GTEX",NA,"GTEX-DEMO-03","Breast"
"CUL1",126.8,6.99,"GTEX",NA,"GTEX-DEMO-03","Breast"
"RBX1",16,4.01,"GTEX",NA,"GTEX-DEMO-03","Breast"
"COPS5",10.7,3.43,"GTEX",NA,"GTEX-DEMO-03","Breast"
"GPS1",100.3,6.65,"GTEX",NA,"GTEX-DEMO-03","Breast"
"EIF3A",102.4,6.68,"GTEX",NA,"GTEX-DEMO-03","Breast"
"EIF3B",44.3,5.47,"GTEX",NA,"GTEX-DEMO-03","Breast"
"EIF3E",80.1,6.33,"GTEX",NA,"GTEX-DEMO-03","Breast"
"RPL3",68.3,6.1,"GTEX",NA,"GTEX-DEMO-03","Breast"
"RPL4",101.2,6.66,"GTEX",NA,"GTEX-DEMO-03","Breast"
"RPL5",33.2,5.06,"GTEX",NA,"GTEX-DEMO-03","Breast"
"RPL7",8.6,3.12,"GTEX",NA,"GTEX-DEMO-03","Breast"
"RPL8",65.5,6.04,"GTEX",NA,"GTEX-DEMO-03","Breast"
"RPL10",120.7,6.92,"GTEX",NA,"GTEX-DEMO-03","Breast"
"RPL11",229.6,7.84,"GTEX",NA,"GTEX-DEMO-03","Breast"
"RPL14",129.5,7.02,"GTEX",NA,"GTEX-DEMO-03","Breast"
"RPL18",96.9,6.6,"GTEX",NA,"GTEX-DEMO-03","Breast"
"RPL23",133.2,7.06,"GTEX",NA,"GTEX-DEMO-03","Breast"
"RPS3",102.4,6.68,"GTEX",NA,"GTEX-DEMO-03","Breast"
"RPS4X",67.5,6.08,"GTEX",NA,"GTEX-DEMO-03","Breast"
"RPS5",11,3.47,"GTEX",NA,"GTEX-DEMO-03","Breast"
"RPS6",23.1,4.54,"GTEX",NA,"GTEX-DEMO-03","Breast"
"RPS8",127.3,6.99,"GTEX",NA,"GTEX-DEMO-03","Breast"
"RPS10",21.2,4.41,"GTEX",NA,"GTEX-DEMO-03","Breast"
"RPS14",209,7.71,"GTEX",NA,"GTEX-DEMO-03","Breast"
"RPS15",15.8,3.99,"GTEX",NA,"GTEX-DEMO-03","Breast"
"RPS19",112.4,6.81,"GTEX",NA,"GTEX-DEMO-03","Breast"
"RPS24",132.7,7.05,"GTEX",NA,"GTEX-DEMO-03","Breast"
"HNRNPA1",78.5,6.3,"GTEX",NA,"GTEX-DEMO-03","Breast"
"HNRNPC",96.4,6.59,"GTEX",NA,"GTEX-DEMO-03","Breast"
"HNRNPK",171.6,7.42,"GTEX",NA,"GTEX-DEMO-03","Breast"
"HNRNPU",91,6.51,"GTEX",NA,"GTEX-DEMO-03","Breast"
"SRSF1",103.5,6.69,"GTEX",NA,"GTEX-DEMO-03","Breast"
"SRSF3",128.1,7,"GTEX",NA,"GTEX-DEMO-03","Breast"
"SF3B1",52.8,5.73,"GTEX",NA,"GTEX-DEMO-03","Breast"
"SNRPD1",207.2,7.7,"GTEX",NA,"GTEX-DEMO-03","Breast"
"DDX5",6.1,2.63,"GTEX",NA,"GTEX-DEMO-03","Breast"
"DHX9",164.9,7.37,"GTEX",NA,"GTEX-DEMO-03","Breast"
